name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocreaceae,4099,657,5882,2817,10942,3006,1341,18597,3705,6,0,4341,14,6143,7963,1,9,0
Trichocomaceae,45,0,150,1,109,627,23,0,904,13924,0,66,0,17,2,1,0,0
Tremellales,427,0,1361,1,179,484,346,0,0,903,863,8402,313,4,27,15817,24047,12
Filobasidiales,0,0,7,0,0,0,10539,0,0,3,0,3,10465,1,0,0,0,0
Tremellaceae,0,0,0,8458,0,225,1247,0,2,0,2,34,0,0,0,0,0,0
Umbelopsidaceae,1501,0,57,0,133,0,492,0,0,0,16532,0,146,0,0,0,0,0
Thamnidiaceae,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leotiomycetes,56,0,11,525,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Tremellales (family),0,0,0,1,0,0,7,0,0,1,4,222,2,0,0,33,91,0
Filobasidiales (family),0,0,0,0,0,0,152,0,0,0,0,0,105,0,0,0,0,0
Mucoraceae,0,0,33,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0
Rhytismataceae,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatrypaceae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hypocreales,0,0,2,1,2,1,0,3,1,0,0,1,0,3,3,0,0,0
Nectriaceae,3,0,1,1,0,0,1,1,2,0,0,1,0,1,0,0,0,0
Mortierellaceae,840,0,0,235,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Polyporaceae,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0
Elaphomycetaceae,0,0,0,0,0,6,0,0,6,24,0,0,0,0,0,0,0,0
Bionectriaceae,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Cystofilobasidiales (family),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Helminthosphaeriaceae,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Hyaloscyphaceae,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saccharomycetaceae,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Erysiphaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordycipitaceae,48,0,1,0,0,0,0,2,0,27,0,0,0,0,7,0,0,0
Helotiaceae,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiocordycipitaceae,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnodiales,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenochaetales,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clavicipitaceae,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Davidiellaceae,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Calosphaeriaceae,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerellaceae,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Gondwanamycetaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sordariomycetes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Coriolaceae,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Malasseziaceae,0,1,8,97,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Placynthiaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ascomycota (family),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corticiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Massariaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypocreales (family),0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Hysteriaceae,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermateaceae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hymenochaetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Helotiales,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helotiales (family),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
